date,username,review,rating,platform,developerResponse,language
2024-08-19,劉賢,一直當機,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-08-17,sanger11111112,可以講物品加入購物車，要刪除卻無法刪除，重新下載app也是相同狀況,1,iOS,,zh
2024-08-15,Wen媽咪,"放進購物車之後無法進行編輯修改
即使重新下載也沒有改善",1,iOS,,zh
2024-08-12,Damian BP,內容空洞,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-08-10,KatherineLiou,"進購物車、進結帳系統
每一個動作慢到都可以烤個吐司抹好醬再回來坐著等",5,iOS,,zh
2024-08-08,我嗨恩,收不到驗證碼啦垃圾app,1,iOS,,zh
2024-08-06,絕不下載,"新政策說要手機驗證，結果根本不給登入帳號，想要驗證還說資料有問題。
重新辦一個帳號，想到登入沒想到信箱也要驗證，奇怪的是一半驗證信箱或號碼也會先讓登入，偏偏IKEA喜歡特立獨行，把你擋在外面，必須從網站上填帳號密碼，然後給你看帳號資料有問題。
舊帳號、新帳號資料都有問題，是我有問題還是IKEA有問題？",1,iOS,,zh
2024-08-04,Lisa Kuo,購物車一直顯示不出來,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-08-02,wen chuan Liao,超爛的app，可以建議移除了，用網頁還比較好用,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-07-27,幹都被用過了,每次補貨也不平均，不是高雄就是桃園，要調也沒辦法掉，線上看到庫存去店裡，還說客訂，服務莫名其妙又越來越爛。,1,iOS,,zh
2024-07-21,鄭傑米,難道沒辦法換一家正常點的軟體公司來維護嗎？IKEA不是國際公司嗎，怎麼搞得好像沒錢的小型傢俱店，跑超久都顯示不出來，剛裝完就馬上刪除了,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-07-21,howard howard,0分 吃個飯還要浪費時間 呵呵,1,Android,"Hej, 如果有任何問題歡迎聯繫客服，IKEA客服電話： 412-8869(手機+02)",zh
2024-07-19,CHIHWEI CHEN,一安裝就卡在語系那邊.....,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-07-18,Weihaotome,進去以後一直卡一個小圓點一直跳不進去,1,iOS,,zh
2024-07-18,lee bd,網路購物體驗非常糟糕，常常都在空轉，花了錢製作購物車卻無法使用電商功能，重點是一個大企業怎能容忍如此長時間的系統放爛，除了換廠商，貴公司的電算資訊窗口應該也是一個大問題。,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-07-16,李京樺,載入速度慢,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-07-16,Bang,這到底三小智缺系統 我登入說找不到我的資料 我選忘記密碼也說沒有我的資料 我填註冊他卻說會員已經有我的資料????,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，為了確認你遇到的狀況，請來信至:iservice@ikea.com.tw 提供帳戶資訊，我們將協助為你處理，謝謝。",zh
2024-07-16,Ning Hui Chen,最難用購物app。購物車商品每次關掉打開就不見，商品分類常常找不到在哪。,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-07-16,Chopper Lee,首頁只有登入畫面，卻少了通往註冊的選項。常見問題的回答裡，也獨缺註冊相關的解答。,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，為了確認你遇到的狀況，請來信至:iservice@ikea.com.tw 提供帳戶資訊，我們將協助為你處理，謝謝。",zh
2024-07-10,華乙遠,還不錯用,5,Android,感謝你與我們分享你的意見。如你所知，我們特別關心那些選擇我們陪伴他們日常生活的人們的誠實和真實的見解。我們將利用你的回饋來改進我們。希望你繼續支持IKEA並期待你的下次光臨。SEE YOU NEXT TIME.,zh
2024-07-09,李翰政,產品點進去都是空的，浪費我時間在那做認證登入,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-07-07,😅小智😅,安裝後，根本無法登陸軟體,1,iOS,,zh
2024-07-07,郭小姐頭鷹,"在網頁版上無嘉義城市店的庫存顯示；而app上則是所有台灣分店都沒有庫存顯示。
希望能夠儘快連動並更新嘉義店的庫存狀況。",4,iOS,,zh
2024-07-06,Mike Chang,果真如其他使用者的描述一模一樣，爛到一個極致死活不肯改善，買你個東西在那邊綁東綁西的~東西也漲價到了個不像話...拜託你們千萬不要改(這一顆星是施捨給你們的),1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-07-06,方頭獅,要強制綁定才能使用會員就已經夠噁心人了，下載後還要連動line，連動網頁還失敗！ 刷卡友優惠QRcode要我再註冊一次會員，輸入完告訴我會員帳號已註冊過 請認真檢討寫這個APP的人，先內測沒問題再放出來害人好不好，有夠扯ㄟ,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-07-05,alan chiang 1639,"驗證信箱跟我說電話格式不對？
文不對題的垃圾錯誤…已經不是技術問題
麻煩IKEA看是要把app研發人員裁掉，還是跟承包商解約，能夠把app寫這麼爛，真的是不簡單",1,iOS,,zh
2024-07-04,羊先生,速度慢，購物車老是卡住，不然就是產品加不進去購物車！！！ 比大便沒營養的回覆就不用了，趕快搞好app和網頁效能，笑死人的國際大廠,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-07-04,ivy Chen,"配送很不彈性,要取消沒有按鍵取消,要打電話給客服,然後沒有在48小時之內取消的話他還要再收一次運費，爛透了",1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，IKEA會持續收集客戶的各項回饋，期待能持續調整作業提升你得購物體驗。",zh
2024-07-03,veronicaharu,"搜尋功能非常不直覺 執行常常卡畫面
產品分類 推薦商品 都很難讓人想消費",1,iOS,,zh
2024-07-03,Chow Will,好慢，又不好用。,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-07-02,幣勝,購物車清不掉，重載都沒用…感覺你們帳號購物車設計有問題🤨，會殘留資訊,1,iOS,,zh
2024-06-30,Pai 5566,一直卡住進不去，也無法與實體卡併用，爛到爆,1,iOS,,zh
2024-06-29,很難難用,"是要驗證什麼啦啦
說手機或信箱驗證
信箱輸入又不給用",1,iOS,,zh
2024-06-29,蘇偉順,完全收不到手機驗證碼， 已經重新發送至少10次了！,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，為了確認你遇到的狀況，請來信至:iservice@ikea.com.tw 提供帳戶資訊，我們將協助為你處理，謝謝。",zh
2024-06-29,Sha Ho,標題是讓人有回家的感覺，app則是無法登入讓你回不了家,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，為了確認你遇到的狀況，請來信至:iservice@ikea.com.tw 提供帳戶資訊，我們將協助為你處理，謝謝。",zh
2024-06-28,POMPOM WEK,一直收不到手機驗證碼！！,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，為了確認你遇到的狀況，請來信至:iservice@ikea.com.tw 提供帳戶資訊，我們將協助為你處理，謝謝。",zh
2024-06-27,J C,開啟速度非常慢，卡到不行！,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-06-27,joy YJC,方便選產品，單常常卡頁(｡ ́︿ ̀｡),3,iOS,,zh
2024-06-27,Ms chenlin,帳戶資料內地址部分，嘉義縣就是嘉義縣，嘉義市是嘉義市，嘉義市是獨立的，不含在嘉義縣，搞清楚狀況！離譜！,1,iOS,,zh
2024-06-23,Bonds hsieh,要新開戶一直卡在驗證！明明電話號碼有正確，一直不發送！按了幾十次，還是一樣！還沒用過這麼難認證的app！,1,iOS,,zh
2024-06-22,hejejedbbd,"無法註冊
點選輸入密碼時，會一直雞婆說幫忙寫高強度密碼，不管你要或不要，之後頁面就會當機，永遠無法註冊。",1,iOS,,zh
2024-06-19,Hengfu Lin,可以公開一下是哪家資訊公司寫的app嗎？真的有夠爛 1. 登入時卡住，改了密碼也一樣 2. 購物車的東西時不時會消失 3. 整天在那邊吵要二階段認證，然後認證又不會通過，只好用電腦秒成功 到底是美學素養還是專業能力出了問題,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-06-19,Mars Huang,無法登入、物品無法加入購物車，根本不想讓人買是不是,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-06-19,吳重君（吳重君/勇霖技師）,註冊一小時還無法登錄使用,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-06-18,甩到帥到沒話說,購物車都打不開是要買三小,1,iOS,,zh
2024-06-17,fuenccn,超爛欸，按個購物車跑超慢，要更改地址也跑超慢，外包給哪個垃圾公司做的可以公開一下嗎==,1,iOS,,zh
2024-06-15,kuma-liu,資料讀取到底是在？ 開了半小時一樣無法顯示,2,iOS,,zh
2024-06-10,KuangYi Wang,"app 會員沒有條碼，還ㄧ定要加line ,實在很不方便,這麼大個公司寫出這種爛app",1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-06-09,N222520,什麼爛app，無法結帳耶，一直顯示「請選擇運送方式」，就已經選了貨物配送跟地址了啊，莫名其妙，這麼大的公司，這麼爛的網站和app,1,iOS,,zh
2024-06-05,migua Ha,難用 超lag 這麼大的公司搞這種爛app 錢乾脆都捐出去算了 工程師都是猴子是不是,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-06-04,換換嵐,本來下載是以為可以叫出宜家卡或優惠券之類的，在實體店不需要找Line出來很麻煩，結果沒有，連宜家卡都叫不出來真的是很無言。,2,iOS,,zh
2024-06-04,李心怡,一直收不到手機驗證碼。只能卸載放棄。,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-06-01,Devil tang辰 斯,破爛玩意兒速度慢永遠在載入中 3小,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-05-30,邱維添,購物車很神奇，每次打開都是空的，得再加一樣物品才能重新看到之前的購物車內容。 App裡除了商品瀏覽體驗不錯（跟網頁版一樣），其他都是災難級別的用戶體驗🥹,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-05-27,張晉瑋,驗證過程不斷鬼打牆有驗證又沒驗證的，糟糕的使用體驗,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，為了確認你遇到的狀況，請來信至:iservice@ikea.com.tw 提供帳戶資訊，我們將協助為你處理，謝謝。",zh
2024-05-25,Hong_61218,都註冊成功也顯示驗證過，再登入頁面又顯示格式不對，不然就是未驗證，蠻難用的，要改版可以開發好再來嗎，很困擾,1,iOS,,zh
2024-05-24,宇凡44,無法刪除購物車品項，一直無法結帳,1,iOS,,zh
2024-05-21,外宿生,"雖然很喜歡ikea
但購物車真的很慘
東西多一點就跑不動
希望能儘快改善！",1,iOS,,zh
2024-05-18,tin368620015,搞笑的app，直接卡註冊畫面,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-05-14,李昱璁,"購物車一直跑不出來 網頁版強制跳進去app,app沒有商品評價回覆顯示。",1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-05-14,Chen yen min,登入信箱不行登，改了密碼也不能登😡,1,iOS,,zh
2024-05-13,Zwen,這app是請工讀生做的嗎，你們好意思上架？,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-05-13,YL,APP跑得比網頁慢 😢,3,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-05-09,JOHN,線上購物我會使用電腦網頁版，逛實體店面裝這個app也多大用處，無法顯示會員條碼，頂多查詢最愛商品所在貨架位置,2,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-05-09,為什麼那麼多暱稱不能用,超爛,1,iOS,,zh
2024-05-08,張國雄,產品多到數不清，只要想要的的在IKEA門市都能看得到,5,Android,,zh
2024-05-08,憤怒阻礙,"購物車按進去就卡住
根本沒辦法結帳",1,iOS,,zh
2024-05-08,Ray JK,已經在爛了，現在還改手機認證，一定是生意太好了,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-05-07,Alix Shih,辦理註冊，手機驗證碼一直沒有發送，等了60秒要求重新發送驗證碼，還是都不發送，版本更新後再試，問題還是一樣存在，經確認電話號碼填寫無誤,1,iOS,,zh
2024-05-07,Steffi Chou,超爛，一直要求綁定，綁了365次還是顯示未綁定,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-05-06,Kikilichy,"輸入電話顯示要輸入信箱，寫完信箱又顯示，
請輸入有效的電子信箱，手機驗證通過，信箱也無誤",2,iOS,,zh
2024-05-05,AJU99,不要再給罐頭回覆給點成效,1,iOS,,zh
2024-05-05,vincent0080,搜尋的排序像是上個世紀的設計。都用app了，產品內容的載入還這麼慢，體驗比官網還差（官網也是夠爛的）,1,iOS,,zh
2024-05-05,jack ko,無法載入,2,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-05-02,ChengShiun Shiue,購物車物品會消失，怕被買嗎,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-05-01,Jeff Kao,一個完全不知所云的 app. 手機驗證程序亂七八糟， 還要我更改密碼；個人帳戶更改跳到企業帳戶登入頁，沒綁信用卡就算了，連會員條碼都沒有，完全看不出來這app 有什麼用。,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-28,Kaiting yang,登入問題，一直重複驗證，到底要驗證幾次才能使用？不想讓人線上購物，就把app刪除吧！！！,1,iOS,,zh
2024-04-25,Wang Louis,太爛了，這真的是官方程式嗎？,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-24,Ryanlee 0506,使用體驗最差不過如此，感覺就是不想要客人消費,1,iOS,,zh
2024-04-21,陳宜琴,一直無法登入會員 說手機沒驗證 點了驗證又說要找櫃檯是怎樣 很爛,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-20,鄭丞宏,已手機驗證卻一直顯示無驗證,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-17,mmilotw,請使用不同字串或關鍵字再試一次,1,iOS,,zh
2024-04-17,Larry Lai,認證根本鬼打牆，原本跟電腦互通使用的現在電腦上挑好東西登入不了，手機也沒辦法改認證，要買東西要拿手機對著電腦下訂單，真服了我去別的地方買就是了,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-16,Hanteen Lin,顯示速度太慢了！等得心累！明明收到補貨通知，點進來又變成缺貨！想試算含組裝及運費的價格，偏偏遇缺貨又不能加入購物車！超級難用～,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-16,蕭蹦,用手機號碼無法登入 ，這到底怎麼設計的,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-15,林翊涵,有夠難用無敵難用,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-14,Leo Yang,更新會員資料送出 不斷錯誤重新填寫 APP畫面也無法直覺的確認帳號到底完成更新與否 綁定後 連QR Code 或 載具 都沒有辦法 到底怎麼能自我宣稱為環保企業 擺明不是要服務顧客 只是想藉由更新帳號 蒐集客戶基本資料跟家庭成員！ 差到不行的體驗,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-14,搶高鐵票是不是,不知道為何這麼大一家公司能把app做得這麼差,1,iOS,,zh
2024-04-13,Youzheng Huang,真的很當機,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-11,Issue,購物車一直是錯誤畫面，想線上買東西都沒辦法🥲,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-09,AaronCheng1992,喔喔！好像有點問題,1,iOS,,zh
2024-04-08,cy Liu,這個app真的是我用過的線上購物app裡面數一數二難用的,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-04-06,介面待改進,"UX設計極爛
登入輸入帳密等無限輪迴
連最基礎的登入都這麽不友善
登入後估計更慘",1,iOS,,zh
2024-04-05,Debby Sung,打開無限載入中 = =,1,iOS,,zh
2024-04-04,Jimmyhu77,産品搜尋非常難用，只能依照分類，分類也不好搜；結帳還算順利，但宅配送貨要5個工作天，大概落後電商環境十年,1,iOS,,zh
